,index,isbn,book_title,book_author,year_of_publication,publisher,img_l,Summary,Category,Borrowed
454,454,0312140940,Wonder Boys : A Novel (Bestselling Backlist),Michael Chabon,1995,Picador,http://images.amazon.com/images/P/0312140940.01.LZZZZZZZ.jpg,"Grady Tripp is a pot-smoking middle aged novelist who has stalled on a
2611 page opus titled Wonder Boys.",Fiction,34
455,455,0316929190,All Too Human : A Political Education,George Stephanopoulos,1999,"Little, Brown",http://images.amazon.com/images/P/0316929190.01.LZZZZZZZ.jpg,"What Liar&#39;s Poker did to Wall Street, this book will do to
politics. It is an irreverent &amp; intimate portrait of how the
nation&#39;s weighty business is conducted by people whose egos &amp;
idiosyncrasies are no sturdier than anyone else&#39;s.",Biography Autobiography,32
456,456,0345285549,Elfstones of Shannara,Terry Brooks,1990,Del Rey Books,http://images.amazon.com/images/P/0345285549.01.LZZZZZZZ.jpg,"Reissue. THE ELFSTONES OF SHANNARA The magical Ellcrys tree is dying,
loosening the spell that bars the Demons from enacting vengeance upon
the land.",Fiction,50
457,457,0345307674,Return of the Jedi (Star Wars),James Kahn,1983,Del Rey Books,http://images.amazon.com/images/P/0345307674.01.LZZZZZZZ.jpg,"Luke Skywalker and his friends in the Rebel Alliance formulate a
daring plan to battle with the Empire and its evil leaders, Darth
Vader and the Emperor.",Fiction,35
458,458,0345331605,Dragonsdawn,Anne McCaffrey,1988,Ballantine Books,http://images.amazon.com/images/P/0345331605.01.LZZZZZZZ.jpg,"Deadly spores threaten the human colony of Pern unless the colonists,
with help from geneticist Kitti Ping, can develop fire-breathing
dragons to combat the menace",Fiction,66
459,459,0380754843,Wayside School is Falling Down,Louis Sachar,1990,HarperTrophy,http://images.amazon.com/images/P/0380754843.01.LZZZZZZZ.jpg,"Jewls. &quot;That&#39;s gravity! I&#39;ve been trying to teach you
about gravity, but the computer showed you a lot quicker!&quot;
That&#39;s the way things happen at Wayside School. There are 29 kids
in Mrs. Jewls&#39;s class and this book is about all of them.",Juvenile Fiction,38
460,460,0385314744,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,1996,Delacorte Press,http://images.amazon.com/images/P/0385314744.01.LZZZZZZZ.jpg,"A liberal political satirist examines the frequently ridiculous world
of American politics, showcasing the absurdities of presidential
hopefuls and America&#39;s elite policymakers tackles the issues--and
the politicians--in ways few have dared ...",Humor,86
461,461,0440224624,The Loop,Nicholas Evans,1999,Dell Publishing Company,http://images.amazon.com/images/P/0440224624.01.LZZZZZZZ.jpg,"The author of the number-one best-seller, The Horse Whisperer,
narrates the story of a biologist who struggles to protect endangered
wolves and her love affair with the son of her most powerful opponent,
a local rancher. Reprint.",Fiction,175
462,462,0553234811,"Valley of the Horses (Auel, Jean M. , Earth's Children.)",Jean M. Auel,1983,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553234811.01.LZZZZZZZ.jpg,"Ayla shares a lonely valley with a herd of steppe ponies, harnesses
their power, and discovers speech and love with Jondalar, a member of
her own race",Fiction,56
463,463,0553268945,Forging the Darksword (Darksword Trilogy),Margaret Weis,1997,Spectra Books,http://images.amazon.com/images/P/0553268945.01.LZZZZZZZ.jpg,"Born without magical abilities in a magic world, Joram flees to the
Outlands after being exiled from his village, and joins the scholar
Saryon, practitioner of the outlawed arts of science and creator of
the Darksword",Fiction,28
464,464,0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg,Praise for The Diary of a Young Girl &quot;A truly remarkable book.,Biography Autobiography,131
465,465,067168390X,Lonesome Dove,Larry McMurtry,1988,Pocket,http://images.amazon.com/images/P/067168390X.01.LZZZZZZZ.jpg,"Set in the late-nineteenth century, this novel chronicles a cattle
drive from Texas to Montana, and follows the lives of Gus and Call,
the cowboys heading the drive, Gus&#39;s woman, Lorena, and Blue Duck,
a sinister Indian renegade &quot;What they ...",Fiction,76
466,466,0671868691,Bitter Harvest,Ann Rule,1999,Pocket,http://images.amazon.com/images/P/0671868691.01.LZZZZZZZ.jpg,"Piece by piece, Ann Rule digs beneath this placid Midwestern facade to
unveil a disturbing portrait of strangely troubled marriages,
infidelity, desperation, suicide, and escalating acts of revenge that
forever changed dozens of lives.",True Crime,68
467,467,0894803700,"14,000 Things to Be Happy About",Barbara Ann Kipfer,1990,Workman Publishing,http://images.amazon.com/images/P/0894803700.01.LZZZZZZZ.jpg,"A listing of fourteen thousand things that people should be happy
about--including flannel sheets, strawberry ice cream, Scrabble, red
leotards, quiet libraries, patting the cat, and popsicle sticks Ice
cream sandwiches, red leotards, a ...",Self Help,24
468,468,0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg,"Financial journalist Rebecca Bloomwood seeks solace from the boredom
and pressures in life with her shopping, a solution that brings her
close to financial disaster, until she encounters a story that will
change her life.",Fiction,328
469,469,0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,http://images.amazon.com/images/P/0385335881.01.LZZZZZZZ.jpg,"TV financial guru Becky Bloomwood has finally paid off her debts and
credit card bills, until her boyfriend, Luke, invites her to accompany
him when he moves to New York, and she discovers sample sales, power
lunches, and Fifth Avenue.",Fiction,190
470,470,051513399X,Smoke in Mirrors,Jayne Ann Krentz,2002,Jove Books,http://images.amazon.com/images/P/051513399X.01.LZZZZZZZ.jpg,"Unwittingly involved in a clever scheme devised by the late con artist
and seductress Meredith Spooner, Leonora Hutton sets out to make
things right and prove her innocence to Thomas Walker, another victim
of Meredith&#39;s deceptions, but she ...",Fiction,47
471,471,0553582658,Summer Light,Luanne Rice,2002,Bantam Books,http://images.amazon.com/images/P/0553582658.01.LZZZZZZZ.jpg,"Wedding planner May Taylor, who is raising her daughter Kylie, a
gifted five year old who can see and hear things others cannot, no
longer believes in the magic of true love until her daughter&#39;s
visions lead her to notorious professional ...",Fiction,95
472,472,0345435249,Darwin's Radio,Greg Bear,2000,Ballantine Books,http://images.amazon.com/images/P/0345435249.01.LZZZZZZZ.jpg,"A virus hunter at the Epidemic Intelligence Service has discovered
that a long-dormant virus encoded in human DNA is about to re-awaken,
with terrifying consequences for any woman about to have a child.
Reprint.",Fiction,62
473,473,0451202503,The Songcatcher: A Ballad Novel,Sharyn McCrumb,2002,Signet Book,http://images.amazon.com/images/P/0451202503.01.LZZZZZZZ.jpg,"Folksinger Lark McCourry retraces the history of a family song, which
she had heard from her North Carolina relatives as a child, back to
eighteenth-century Scotland to young Malcolm MacQuarry, kidnapped and
sent to the American colonies, ...",Fiction,80
474,474,0399149759,Flashback,Nevada Barr,2003,Putnam Publishing Group,http://images.amazon.com/images/P/0399149759.01.LZZZZZZZ.jpg,"Taking a temporary post as ranger in Dry Tortugas National Park to
escape dealing with a marriage proposal, Anna Pigeon investigates a
mysterious boating accident that leads her to uncover sinister local
crimes from the past.",Fiction,59
475,475,0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket,http://images.amazon.com/images/P/0671028375.01.LZZZZZZZ.jpg,"After a fatal airline crash in the mountains of North Carolina, Dr.
Temperance Brennan heads to the site to help identify the victims, but
the discovery of body parts that do not belong to any registered
passenger leads the investigation ...",Fiction,130
476,476,0399146008,Shock,Robin Cook,2001,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399146008.01.LZZZZZZZ.jpg,"Deborah Cochrane and Joanna Meissner, close friends and fellow grad
students, respond to a campus newspaper ad that promises to solve
their financial problems: an exclusive, highly profitable fertility
clinic northwest of Boston is willing ...",Fiction,47
477,477,044990928X,Operating Instructions: A Journal of My Son's First Year,Anne Lamott,1994,Ballantine Books,http://images.amazon.com/images/P/044990928X.01.LZZZZZZZ.jpg,"Reissue. &quot;Smart, funny and comforting . . . Lamott has a
conversational style that perfectly conveys her frie",Biography Autobiography,39
478,478,0060916508,Their Eyes Were Watching God: A Novel,Zora Neale Hurston,1990,Perennial,http://images.amazon.com/images/P/0060916508.01.LZZZZZZZ.jpg,&quot;Belongs in the category ... of enduring American literature.,Fiction,96
479,479,0671038184,Jewel,Bret Lott,1999,Washington Square Press,http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg,"A mother fights for the dignity of her youngest daughter against the
backdrop of a pure and simple way of life in the backwoods of
Mississippi in 1943",Fiction,203
480,480,0060562080,"Under the Duvet : Shoes, Reviews, Having the Blues, Builders, Babies, Families and Other Calamities",Marian Keyes,2004,Perennial,http://images.amazon.com/images/P/0060562080.01.LZZZZZZZ.jpg,"Her novels are read and adored by millions around the world, and with
Under the Duvet, Marian Keyes tackles the world of nonfiction. These
are her collected pieces: regular bulletins from the woman writing
under the covers.",Biography Autobiography,29
481,481,0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg,"While playing baseball in the summer of 1953, Owen Meany hits a foul
ball that kills his best friend&#39;s mother, and he becomes convinced
that he is an instrument of God",Fiction,388
482,482,0394404289,The Prophet,Kahlil Gibran,1973,Alfred A. Knopf,http://images.amazon.com/images/P/0394404289.01.LZZZZZZZ.jpg,"This book is set by hand in Garamond, a modern rendering by the
American Type Founders Company of the type cut by Claude Garamond in
the sixteenth century.",Philosophy,39
483,483,0963270702,The Satanic Verses,Salman Rushdie,1992,Distributors,http://images.amazon.com/images/P/0963270702.01.LZZZZZZZ.jpg,"Gibreel Farishta, India&#39;s legendary movie star, and Saladin
Chamcha, the man of a thousand voices, fall earthward from a bombed
jet toward the sea, singing rival verses in an eternal wrestling match
between good and evil.",Fiction,54
484,484,0345458915,The Sinner,TESS GERRITSEN,2003,Ballantine Books,http://images.amazon.com/images/P/0345458915.01.LZZZZZZZ.jpg,"Investigating the brutal murder of one nun and the critical injury of
another within a cloistered convent, medical examiner Maura Isles and
homicide detective Jane Rizzoli stumble upon long-buried secrets that
link these horrific crimes.",Fiction,31
485,485,0140317937,The Neverending Story,Michael Ende,1985,Penguin USA,http://images.amazon.com/images/P/0140317937.01.LZZZZZZZ.jpg,"Small, fat Bastian Balthazar Bux is nobody&#39;s idea of a hero, least
of all his own, until he finds himself stepping through the pages of a
mysterious book into the world of Fantastica! Age 9+ 148 pages",Children s stories,36
486,486,0553256696,Hiding Place,Corrie Ten Boom,1984,Bantam Books,http://images.amazon.com/images/P/0553256696.01.LZZZZZZZ.jpg,"Corrie ten Boom&#39;s account of her amazing family&#39;s experiences
during the German occupation of Holland reveals her indomitable
Christian faith",Biography Autobiography,47
487,487,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg,"Working in Gaborone, Botswana, Precious Ramotswe investigates several
local mysteries, including a search for a missing boy and the case of
the clinic doctor with different personalities for different days of
the week.",Fiction,407
488,488,038533303X,Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti,2001,Delta,http://images.amazon.com/images/P/038533303X.01.LZZZZZZZ.jpg,"Follows an 84-year-old pathologist across the country with
Einstein&#39;s brain in a Tupperware bowl filled with formaldehyde.",Biography Autobiography,33
489,489,037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA,http://images.amazon.com/images/P/037570504X.01.LZZZZZZZ.jpg,"Set in the island&#39;s impoverished villages and in New York&#39;s
Haitian community, this is the story of Sophie Caco, who was conceived
in an act of violence, abandoned by her mother and then summoned to
America.",Fiction,142
490,490,0609608444,"The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)",ERIK LARSON,2003,Crown,http://images.amazon.com/images/P/0609608444.01.LZZZZZZZ.jpg,"An account of the Chicago World&#39;s Fair of 1893 relates the stories
of two men who shaped the history of the event--architect Daniel H.
Burnham, who coordinated its construction, and serial killer Herman
Mudgett.",History,55
491,491,0892967048,The Bottoms,Joe R. Lansdale,2000,Mysterious Press,http://images.amazon.com/images/P/0892967048.01.LZZZZZZZ.jpg,"When young Harry Crane stumbles upon a mutilated body in the local
river bottoms, the region beomes trapped in a nightmare of fear and
racial tension, as a vicious serial killer stalks the town, a man is
lynched, and local law enforcement ...",Fiction,27
492,492,0345325818,The Silmarillion,J.R.R. TOLKIEN,1985,Del Rey,http://images.amazon.com/images/P/0345325818.01.LZZZZZZZ.jpg,"&quot;Tolkien considered THE SILMARILLION his most important work,
and, though it was published last and posthumously, this great
collection of tales and legends clearly sets the stage for all his
other writing.",Fiction,102
493,493,0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,http://images.amazon.com/images/P/0140244824.01.LZZZZZZZ.jpg,"A novel set in a small town in Vermont in 1960 offers the story of
lonely and vulnerable Marie Fermoyle, her three children, and a
dangerous con man",Fiction,227
494,494,0743221990,The Stone Monkey : A Lincoln Rhyme Novel,Jeffery Deaver,2002,Simon & Schuster,http://images.amazon.com/images/P/0743221990.01.LZZZZZZZ.jpg,"First introduced in the spine-chilling novel The Bone Collector,
Lincoln Rhyme dazzled readers with unparalleled forensic sleuthing-all
done from the confines of a wheelchair.",Fiction,29
495,495,0312983212,Saucer,Stephen Coonts,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983212.01.LZZZZZZZ.jpg,"&quot; --The New York Times Book Review &quot;[Coonts&#39;s] gripping,
first-person narration of aerial combat is the best I&#39;ve ever
read. Once begun, this book cannot be laid aside.",Fiction,53
496,496,031227999X,Emotionally Weird: A Novel,Kate Atkinson,2001,Picador USA,http://images.amazon.com/images/P/031227999X.01.LZZZZZZZ.jpg,"Seeking refuge in the ancient, mouldering home of their ancestors on
an island off the coast of Scotland, Effie and her mother, Nora,
reveal the secrets of their lives and loves, past and present, to each
other, in a hilarious novel about ...",Fiction,27
497,497,0385510438,The Last Juror,John Grisham,2004,Doubleday,http://images.amazon.com/images/P/0385510438.01.LZZZZZZZ.jpg,"Convicted of the murder of a young mother in a 1970 trial that ended
with his threat to seek revenge against the jurors, Danny Padgitt is
paroled after nine years in prison and returns to the scene of the
trial in Ford County, Mississippi.",Fiction,106
498,498,0385324057,Summer Sisters,Judy Blume,1998,Delacorte Press,http://images.amazon.com/images/P/0385324057.01.LZZZZZZZ.jpg,"Two women from very different families become inseparable companions
during summers on Martha&#39;s Vineyard during their coming-of-age
years, forging the bonds of a lifelong friendship that weathers
growing up, marriage, children, careers, and ...",Fiction,88
499,499,0061030651,U.S.S. Seawolf,Patrick Robinson,2001,HarperTorch,http://images.amazon.com/images/P/0061030651.01.LZZZZZZZ.jpg,"National Security Adviser Admiral Arnold Morgan can&#39;t let that
happen, and he dispatches the most stealthy hunter-killer submarine in
the U.S. fleet, the 9,000-ton ultrasecret Seawolf, deep into the dark,
forbidden waters of the South China ...",Fiction,27
500,500,031298250X,America : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/031298250X.01.LZZZZZZZ.jpg,"When the U.S.S. America, the latest and most intricate nuclear
submarine, is stolen, Admiral Jake Grafton investigates and soon
learns that whoever is masterminding this operation means business
when missiles are launched.",Fiction,43
501,501,0425178773,Day of Reckoning,Jack Higgins,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425178773.01.LZZZZZZZ.jpg,"When crime boss Jack Fox gives the order to kill journalist Katherine
Johnson, the woman&#39;s ex-husband--a clandestine government agent--
leads a crusade to destroy Fox.",Fiction,29
502,502,0425185710,Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425185710.01.LZZZZZZZ.jpg,"In the midst of its maiden voyage, the Emerald Dolphin, a luxury
cruise ship equipped with revolutionary new engines, sinks and NUMA
special projects director Dirk Pitt heads out to rescue the passengers
and investigate the disaster.",Fiction,98
503,503,0553377876,Half Asleep in Frog Pajamas,Tom Robbins,1995,Bantam,http://images.amazon.com/images/P/0553377876.01.LZZZZZZZ.jpg,"After the stock market crashes on the Thursday before Easter, an
ambitious but ineffectual young stockbroker faces a mind-blowing,
destiny-altering weekend of scheming to escape blame and coping with a
mysterious stranger",Fiction,76
504,504,0061093092,Lily White,Susan Isaacs,1997,HarperTorch,http://images.amazon.com/images/P/0061093092.01.LZZZZZZZ.jpg,"While working on the case of a con man accused of murdering his latest
mark, criminal defense attorney Lee White is devastated when her
husband Jasper asks for a divorce, demanding custody of their
daughter, to marry Lee&#39;s sister, Robin",Fiction,68
505,505,0061098361,Circle of Three: A Novel,Patricia Gaffney,2001,HarperTorch,http://images.amazon.com/images/P/0061098361.01.LZZZZZZZ.jpg,"“Gaffney’s characters are appealing and realistic…Readers will race
through this book.” —New Orleans Times Picayune
“Poignant….Entertaining….As good as it gets.” —New York Post No other
author writes about the lives and ...",Fiction,59
506,506,0345316770,Almost Paradise,Susan Isaacs,1990,Ballantine Books,http://images.amazon.com/images/P/0345316770.01.LZZZZZZZ.jpg,"This story of Jane and Nicholas Cobleigh, takes a look at the comedy
and heartbreak of twenty years of marriage",Fiction,44
507,507,0345370805,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books,http://images.amazon.com/images/P/0345370805.01.LZZZZZZZ.jpg,"As members of a women&#39;s quilting group work their art, their
stories of grief, passion, youth, and age are played out in a
multigenerational, multi-layered narrative",Fiction,163
508,508,0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg,"Inman, an injured and disillusioned Confederate soldier, embarks on a
harrowing journey home to his sweetheart, Ada, who herself is
struggling to run the farm left her at her father&#39;s sudden death",Fiction,293
509,509,0385480016,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,1995,Anchor,http://images.amazon.com/images/P/0385480016.01.LZZZZZZZ.jpg,"A step-by-step guide to writing and managing the writer&#39;s life
covers each portion of a written project, addresses such concerns as
writer&#39;s block and getting published, and offers awareness and
survival tips. Reprint. Tour.",Language Arts Disciplines,53
510,510,0385490445,Alias Grace : A Novel,Margaret Atwood,1997,Anchor,http://images.amazon.com/images/P/0385490445.01.LZZZZZZZ.jpg,"Takes readers into the life and mind of Grace Marks, one of the most
notorious women of the 1840s, who is serving a life sentence for
murders she claims she cannot remember",Fiction,77
511,511,0385491050,Surfacing,MARGARET ATWOOD,1998,Anchor,http://images.amazon.com/images/P/0385491050.01.LZZZZZZZ.jpg,"A woman searching for her missing father travels with her lover and
another couple to a remote island in northern Quebec, where they
encounter violence and death",Fiction,55
512,512,0394758285,The Big Sleep,Raymond Chandler,1992,Vintage Books USA,http://images.amazon.com/images/P/0394758285.01.LZZZZZZZ.jpg,"Philip Marlowe, a private eye who operates in Los Angeles&#39;s seamy
underside during the 1930s, takes on his first case, which involves a
paralyzed California millionaire, two psychotic daughters, blackmail,
and murder",Fiction,34
513,513,0449149676,On Mystic Lake,Kristin Hannah,2000,Ballantine Books,http://images.amazon.com/images/P/0449149676.01.LZZZZZZZ.jpg,"A heartwarming tale of love set on Mystic Lake follows Annie Colwater
on journey of discovery of passion as she struggles to cope with a
shattered marriage. Reprint.",Fiction,65
514,514,0553568183,Blue Moon,Luanne Rice,1994,Bantam Books,http://images.amazon.com/images/P/0553568183.01.LZZZZZZZ.jpg,"The moving novel of a family that discovers the everyday magic of life
and the extraordinary power of love. Glamour.",Fiction,53
515,515,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star,http://images.amazon.com/images/P/0671793489.01.LZZZZZZZ.jpg,"A student obsessed with her English professor is accused of his
murder, but cannot remember how her fingerprints could possibly have
been found at the scene of the crime",Fiction,170
516,516,0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg,"Humiliated to discover that her ex-boyfriend has been chronicling
their former sex life in a series of articles called &quot;Loving a
Larger Woman&quot; in a popular women&#39;s magazine, pop-culture
journalist Cannie Shapiro embarks on an adventure ...",Fiction,450
517,517,0425189414,Midnight Runner,Jack Higgins,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425189414.01.LZZZZZZZ.jpg,"Even though her brothers tried to assassinate the President of the
United States, Kate Rashid is determined to make those responsible for
killing her brothers pay with their lives and embarks on a mission of
vengeance.",Fiction,26
518,518,0451411013,The Grave Maurice (Richard Jury Novels),Martha Grimes,2003,Onyx Books,http://images.amazon.com/images/P/0451411013.01.LZZZZZZZ.jpg,"While flat on his back in a hospital bed, sleuth Richard Jury
overhears a story that provokes his next murder investigation that is
linked to a mysterious case of kidnapping involving the fifteen-year-
old granddaughter of the owner of Ryder ...",Fiction,21
519,519,0553580078,The Years of Rice and Salt,Kim Stanley Robinson,2003,Spectra Books,http://images.amazon.com/images/P/0553580078.01.LZZZZZZZ.jpg,"How would the world have changed? This is a look at the history that
could have been-one that stretches across centuries, sees dynasties
and nations rise and crumble, and spans horrible famine and
magnificent innovation.",Fiction,48
520,520,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,http://images.amazon.com/images/P/0316781266.01.LZZZZZZZ.jpg,"From the last time Linda and Thomas meet, at a charmless hotel in a
distant city, to the moment, thirty-five years earlier, when a chance
encounter on a rocky beach binds them fatefully together, this
hypnotically compelling novel unfolds a ...",Fiction,290
521,521,0373250223,Name & Address Withheld (Red Dress Ink (Paperback)),Jane Sigaloff,2002,Red Dress Ink,http://images.amazon.com/images/P/0373250223.01.LZZZZZZZ.jpg,"Name &amp; Address Withheld by Jane Sigaloff released on Nov 22, 2002
is available now for purchase.",Fiction,44
522,522,0373711131,Little Girl Lost,Marisa Carroll,2003,Harlequin,http://images.amazon.com/images/P/0373711131.01.LZZZZZZZ.jpg,"Little Girl Lost by Marisa Carroll released on Jan 24, 2003 is
available now for purchase.",Fiction,27
523,523,0380814021,The Princess Diaries,Meg Cabot,2001,HarperTrophy,http://images.amazon.com/images/P/0380814021.01.LZZZZZZZ.jpg,She&#39;s just a New York City girl living with her artist mom.,Juvenile Fiction,96
524,524,0671032658,The Green Mile,Stephen King,1999,Pocket,http://images.amazon.com/images/P/0671032658.01.LZZZZZZZ.jpg,"Originally published as a six-part serial novel, this chilling novel
introduces the inmates of Cold Mountain Penitentiary, convicted
killers all awaiting a date with the electric chair, including the
enigmatic John Coffey.",Fiction,252
525,525,0061098795,The Wailing Wind,Tony Hillerman,2003,HarperTorch,http://images.amazon.com/images/P/0061098795.01.LZZZZZZZ.jpg,"Officer Bernadette Manuelito found the dead man slumped over in the
cab of a blue pickup abandoned in a dry gulch off a dirt road—with a
rich ex-con&#39;s phone number in his pocket ... and a tobacco tin
nearly filled with tracer gold.",Fiction,111
526,526,0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg,"The author chronicles his life after the deaths of his parents, when
he was responsible for the care and upbringing of his eight-year-old
brother, and offers a new appendix clarifying, amending, and expanding
the original work.",Biography Autobiography,286
527,527,0142004030,Lost in a Good Book (Thursday Next Novels (Penguin Books)),Jasper Fforde,2004,Penguin Books,http://images.amazon.com/images/P/0142004030.01.LZZZZZZZ.jpg,"In order to rescue the love of her life from the corrupt multinational
Goliath, Thursday seeks out a believed-vanquished enemy from the pages
of The Raven and finds unexpected assistance from Great
Expectation&#39;s Miss Havisham.",Fiction,38
528,528,0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001,Ballantine Books,http://images.amazon.com/images/P/0345436911.01.LZZZZZZZ.jpg,"In a novel set in London during the Industrial Revolution, a
prostitute borrows a blue dress to attract a higher class of client
and is shadowed through the streets by an evil old woman hired by the
dress&#39; owner to keep an eye on her.",Fiction,111
529,529,0373834985,Comfortable Wife,Stephanie Laurens,2002,Harlequin,http://images.amazon.com/images/P/0373834985.01.LZZZZZZZ.jpg,"A Comfortable Wife by Stephanie Laurens released on Dec 25, 2001 is
available now for purchase.",Fiction,22
530,530,0375704558,Charlotte Gray,Sebastian Faulks,2000,Vintage Books USA,http://images.amazon.com/images/P/0375704558.01.LZZZZZZZ.jpg,"A young Scottish woman who falls in love with a World War II RAF pilot
shortly before his plane is lost over France joins the Resistance
movement to find him, only to discover a larger meaning in her new
role.",Fiction,26
531,531,0440217520,Tunnel Vision (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1995,Dell,http://images.amazon.com/images/P/0440217520.01.LZZZZZZZ.jpg,"Protesting plans to tear down her apartment building by refusing to
move out, private eye V. I. Warshawski discovers a homeless family in
that basement that mysteriously disappears just before Warshawski is
implicated in a murder. Reprint.",Fiction,73
532,532,0452281784,Bad Heir Day,Wendy Holden,2001,Plume Books,http://images.amazon.com/images/P/0452281784.01.LZZZZZZZ.jpg,"When her gorgeous and wealthy boyfriend asks her to move out, aspiring
novelist Anna takes a job as a nanny for a family she considers
horrible, and meets Jamie, a handsome heir to a Scottish castle who
might be too good to be true.",Fiction,70
533,533,0670030643,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002,Viking Books,http://images.amazon.com/images/P/0670030643.01.LZZZZZZZ.jpg,"In a world where one can literally get lost in literature, Thursday
Next, a Special Operative in literary detection, tries to stop the
world&#39;s Third Most Wanted criminal from kidnapping characters,
including Jane Eyre, from works of ...",Fiction,92
534,534,0679450548,I Was Amelia Earhart,Jane Mendelsohn,1996,Random House Inc,http://images.amazon.com/images/P/0679450548.01.LZZZZZZZ.jpg,"In an imaginative novel about a real-life mystery, Amelia Earhart
describes what happened after she and her navigator disappeared off
the coast of New Guinea in 1937 and discusses her love of flying,
memories of her past, and her life with ...",Fiction,36
535,535,0802135196,Valley of the Dolls: A Novel,Jacqueline Susann,1997,Grove Press,http://images.amazon.com/images/P/0802135196.01.LZZZZZZZ.jpg,"Three women seek escape as they learn about the bitterness,
corruption, and falsehoods of the show-business world",Fiction,47
536,536,0375707425,Embers,SANDOR MARAI,2002,Vintage,http://images.amazon.com/images/P/0375707425.01.LZZZZZZZ.jpg,"Following a forty-one year separation, two men reunite in a castle at
the foot of the Carpathian Mountains to share stories and accusations
touching on their lives and that of a third person, the now-dead lady
of the castle.",Fiction,41
537,537,0440131480,Breakfast of Champions,Kurt Vonnegut,1991,Dell Publishing Company,http://images.amazon.com/images/P/0440131480.01.LZZZZZZZ.jpg,"The author questions the condition of modern man in this novel
depicting a science fiction writer&#39;s struggle to find peace and
sanity in the world.",Fiction,80
538,538,0440940001,Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,Laure Leaf,http://images.amazon.com/images/P/0440940001.01.LZZZZZZZ.jpg,"Records the courage and self-reliance of an Indian girl who lived
alone for eighteen years on an isolated island off the California
coast when her tribe emigrated and she was left behind.",Juvenile Fiction,88
539,539,0812565959,Shadow of the Hegemon (Ender Wiggins Saga (Paperback)),Orson Scott Card,2001,Tor Books,http://images.amazon.com/images/P/0812565959.01.LZZZZZZZ.jpg,"With Bean&#39;s help, he will eventually rule the world. Shadow of the
Hegemon is the second novel in Orson Scott Card&#39;s Shadow Series.",Fiction,42
540,540,0425157539,Sudden Prey,John Sandford,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425157539.01.LZZZZZZZ.jpg,"After a vicious female bank robber named Candy dies in a shootout with
police, her violent associates vow revenge, targeting the loved ones
of the police officers involved, and it is up to Lucas Davenport to
stop the nightmarish killings.",Fiction,86
541,541,0425163385,The Night Crew,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425163385.01.LZZZZZZZ.jpg,"Roaming the night streets of Los Angeles in search of news items for
their cameras, Anna Batory and her crew of video freelancers are
shattered by the death of a suicidal jumper and the murder of one of
their team members, a crime that ...",Fiction,85
